Article,Headlines,is_sarcasm
https://www.huffpost.com/entry/unemployment-numbers-covid-19_n_5eeb5d6dc5b68d07296ad0a1,15 Million More Americans Sought Unemployment Claims Last Week,0
https://ogn.theonion.com/10-clumps-of-grass-in-video-games-1843156008,10 Clumps Of Grass In Video Games,1
https://ogn.theonion.com/10-clumps-of-grass-in-video-games-1843156008,10 Clumps Of Grass In Video Games,1
https://ogn.theonion.com/10-clumps-of-grass-in-video-games-1843156008,10 Clumps Of Grass In Video Games,1
https://ogn.theonion.com/10-clumps-of-grass-in-video-games-1843156008,10 Clumps Of Grass In Video Games,1
https://entertainment.theonion.com/10-crazy-optical-illusions-1842361044,10 Crazy Optical Illusions,1
https://entertainment.theonion.com/10-crazy-optical-illusions-1842361044,10 Crazy Optical Illusions,1
https://entertainment.theonion.com/10-crazy-optical-illusions-1842361044,10 Crazy Optical Illusions,1
https://entertainment.theonion.com/10-crazy-optical-illusions-1842361044,10 Crazy Optical Illusions,1
https://www.huffpost.com/entry/photos-restaurants-social-distancing-coronavirus_l_5ebc0589c5b6ac90c5bafb67,10 Photos Show How Restaurants Around The World Are Social Distancing,0
https://entertainment.theonion.com/10-songs-you-didn-t-know-were-written-about-celebrities-1843542028,10 Songs You Didnt Know Were Written About Celebrities,1
https://sports.theonion.com/11-greatest-sports-moments-made-possible-by-peds-1843461925,11 Greatest Sports Moments Made Possible By PEDs,1
https://www.huffpost.com/entry/clever-work-from-home-spaces-quarantine_l_5e90de76c5b6ad719f27b923,12 Of The Most Clever Work-From-Home Spaces Created In Quarantine So Far,0
https://www.huffpost.com/entry/this-is-us-lonnie-chavis-racism-essay_n_5eec5ca9c5b66c7a5e6ac774,12-Year-Old This Is Us Star Reveals The Racism Hes Already Experienced,0
https://www.huffpost.com/entry/the-best-standing-desks-for-home-office_l_5ebad131c5b6e711d464ee52,15 Highly Rated Standing Desks That Will Elevate Your Home Office,0
https://www.huffpost.com/entry/colin-mattis-urooj-rahman-lawyers-trial-vandalism-trump-judges_n_5ef0ae0fc5b639909d573613,2 Lawyers Of Color Face 45-Year Sentences - For Vandalism,0
https://www.huffpost.com/entry/coronavirus-sex-hooking-up-intimacy_n_5e7e0acdc5b6cb9dc19ec6e9,2 Weeks Ago I Could Have Sex Whenever I Wanted. The Coronavirus Changed That.,0
https://www.huffpost.com/entry/donald-trump-law-and-order-1968-2020_n_5ed92c23c5b691340ea25979,2020 Isnt 1968 And Donald Trump Isnt Richard Nixon,0
https://www.theonion.com/2021-oscars-postponed-2-months-1844064006,2021 Oscars Postponed 2 Months,1
https://www.theonion.com/2021-oscars-postponed-2-months-1844064006,2021 Oscars Postponed 2 Months,1
https://www.theonion.com/2021-oscars-postponed-2-months-1844064006,2021 Oscars Postponed 2 Months,1
https://www.theonion.com/2021-oscars-postponed-2-months-1844064006,2021 Oscars Postponed 2 Months,1
https://www.theonion.com/2021-oscars-postponed-2-months-1844064006,2021 Oscars Postponed 2 Months,1
https://www.theonion.com/2021-oscars-postponed-2-months-1844064006,2021 Oscars Postponed 2 Months,1
https://www.theonion.com/2021-oscars-postponed-2-months-1844064006,2021 Oscars Postponed 2 Months,1
https://www.huffpost.com/entry/new-york-congressional-primaries-to-watch-progressive-democratic-party_n_5eed3c97c5b6f82c1fa60154,3 Congressional Races To Watch In New Yorks Democratic Primary,0
https://www.huffpost.com/entry/3-cops-charged-george-floyd-death_n_5ed15c7cc5b63f2b5793fa50,3 More Former Cops Charged In The Killing Of George Floyd,0
https://www.huffpost.com/entry/white-students-checking-in-on-black-classmates_n_5ee4fff5c5b6d95e688129a6,3 Questions White Students Should Ask Themselves Before Checking In On Black Classmates,0
